date,ticker,NewsCount,NewsTone
2022-05-19,AAPL,512,-0.0014662641270951136
2022-05-19,AMZN,460,0.0025745779962615656
2022-05-19,FB,3633,-0.00784051070995176
2022-05-19,NVDA,104,-0.010436706247486736
2022-05-19,TSLA,416,-0.017951044565526077
2022-05-20,AAPL,495,0.00068355464043647778
2022-05-20,AMZN,516,0.0043151097564517885
2022-05-20,FB,3520,-0.00932786966000463
2022-05-20,NVDA,116,-0.017440921993768878
2022-05-20,TSLA,390,-0.025760720476794646
2022-05-21,AAPL,255,-0.0036527321307641193
2022-05-21,AMZN,234,0.0068470666150024255
2022-05-21,FB,2248,-0.010729020399557752
2022-05-21,NVDA,64,-0.0157530303003942
2022-05-21,TSLA,138,-0.0197709406020765
2022-05-22,AAPL,258,-0.0091827378886538639
2022-05-22,AMZN,142,-0.0034825778352333961
2022-05-22,FB,2034,-0.0058628875498122025
2022-05-22,NVDA,46,-0.015619811772360831
2022-05-22,TSLA,82,-0.010347079265783803
2022-05-23,AAPL,568,-0.0017712988378882381
2022-05-23,AMZN,308,0.0096733139216151967
2022-05-23,FB,3554,-0.01072918715630339
2022-05-23,NVDA,88,-0.017637506891464368
2022-05-23,TSLA,203,-0.0071981506100019348
2022-05-24,AAPL,562,0.011279514107886569
2022-05-24,AMZN,453,0.0054656583925467607
2022-05-24,FB,4037,-0.013256329704246094
2022-05-24,NVDA,174,0.0047786227251088382
2022-05-24,TSLA,197,-0.016520446318678605
2022-05-25,AAPL,614,0.0014564723179820546
2022-05-25,AMZN,547,0.0026328714134430707
2022-05-25,FB,4383,-0.019551426037257857
2022-05-25,NVDA,189,-0.0033995809697353252
2022-05-25,TSLA,223,-0.0023318451762286267
2022-05-26,AAPL,565,-0.0019813484980570253
2022-05-26,AMZN,520,-0.0056752261547420172
2022-05-26,FB,3893,-0.011230652216233343
2022-05-26,NVDA,159,-0.0060095696776469674
2022-05-26,TSLA,195,-0.0037677176596658409
2022-05-27,AAPL,569,0.010063057491345166
2022-05-27,AMZN,358,-0.0028309520623720427
2022-05-27,FB,3383,-0.014537142174871277
2022-05-27,NVDA,125,-0.010343047950774736
2022-05-27,TSLA,211,-0.0070093901000741719
